leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_Air_sp_covered,M_OGI_FollowUp_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00314_0000000016,ABRAND00314,3,0.6967256515791063,54.26,-116.33,active,63,109799.50364469706,,,0.6967256515791063,True,unknown,2026-10-28,0,1777.5,2026-12-29 09:50:00,M_OGI_FollowUp,1.0,M_Air,2026-12-26 16:05:00,False,,,1.0,1.0,,0.0,0.6967256515791063,0.03965760116938489
ABRAND00085_0000000016,ABRAND00085,2,0.6220059009444531,57.51,-119.55,active,82,98024.14915107976,,,,False,unknown,2026-10-09,0,,,,,,,False,,,,,,0.0043859649122807015,1.3187315525235594,0.07506215659052015
ABRAND00874_0000000016,ABRAND00874,5,0.5530475293761169,52.86,-114.31,active,70,87156.75112548802,,,0.5530475293761169,True,unknown,2026-10-21,0,1777.5,2026-12-29 08:00:00,M_OGI_FollowUp,1.0,M_Air,2026-12-26 16:05:00,False,,,1.0,1.0,,0.008771929824561403,1.8717790818996765,0.10654160377034241
ABRAND00870_0000000015,ABRAND00870,1,0.5082327914884573,52.34,-114.32,active,246,80094.23524871535,,,,False,unknown,2026-04-28,0,,,,,,,False,,,1.0,,,0.013157894736842105,2.380011873388134,0.13547019754376108
ABRAND00344_0000000006,ABRAND00344,3,0.45285094986869,53.02,-116.19,active,19,71366.41145322639,,,,False,unknown,2026-12-11,0,,,,,,,False,,,,,,0.017543859649122806,2.832862823256824,0.16124645871394502
ABRAND00338_0000000013,ABRAND00338,1,0.3913769087757124,53.05,-116.21,active,359,61678.49601083612,,,,False,unknown,2026-01-05,0,,,,,,,False,,,1.0,,,0.021929824561403508,3.2242397320325367,0.18352361948727947
ABRAND00542_0000000011,ABRAND00542,3,0.3578511416010359,53.14,-115.59,active,214,56395.04966901702,,,,False,unknown,2026-05-30,0,,,,,,,False,,,1.0,,,0.02631578947368421,3.5820908736335726,0.20389249469584733
ABRAND00394_0000000012,ABRAND00394,2,0.3458684197397069,52.88,-116.0,active,341,54506.64939309147,,,,False,unknown,2026-01-23,0,,,,,,,False,,,1.0,,,0.03070175438596491,3.9279592933732794,0.22357931377023496
ABRAND00811_0000000015,ABRAND00811,2,0.27030990938890975,52.0,-114.47,active,8,42599.11173627209,,,,False,unknown,2026-12-22,0,,,,,,,False,,,,,,0.03508771929824561,4.198269202762189,0.23896534492092072
ABRAND00874_0000000017,ABRAND00874,3,0.26162632987209744,52.86,-114.31,active,11,41230.63517933138,,,0.26162632987209744,True,unknown,2026-12-19,0,1777.5,2026-12-29 08:00:00,M_OGI_FollowUp,1.0,M_Air,2026-12-26 16:05:00,False,,,1.0,1.0,,0.039473684210526314,4.459895532634286,0.2538571070111522
ABRAND00870_0000000016,ABRAND00870,2,0.2529702477296756,52.34,-114.32,active,147,39866.49203261141,,,,False,unknown,2026-08-05,0,,,,,,,False,,,1.0,,,0.043859649122807015,4.712865780363962,0.2682561651905752
ABRAND00314_0000000015,ABRAND00314,1,0.25043936962037155,54.26,-116.33,active,231,39467.64184020499,,,0.25043936962037155,True,unknown,2026-05-13,0,1777.5,2026-12-29 09:50:00,M_OGI_FollowUp,1.0,M_Air,2026-12-26 16:05:00,False,,,1.0,1.0,,0.04824561403508772,4.9633051499843335,0.28251116587126884
